train,val,phys
1.6091473807211298,1.5764325610638728,1.6091473807211298
1.6091463685957201,1.5764305137122079,1.6091463685957201
1.6091452612468204,1.5764287047791223,1.6091452612468204
1.6091443246840784,1.5764268118442177,1.6091443246840784
1.6091432851492091,1.5764249469099194,1.6091432851492091
1.6091421573121587,1.5764230467681506,1.6091421573121587
1.6091409964425054,1.5764211258326395,1.6091409964425054
1.609140000587889,1.5764193801076307,1.609140000587889
1.6091390008455015,1.5764174239646491,1.6091390008455015
1.609138101404921,1.5764155310297445,1.609138101404921
1.6091368476592385,1.5764136028873694,1.6091368476592385
1.6091360570022635,1.5764117027456006,1.6091360570022635
1.6091349739485707,1.5764098450181663,1.6091349739485707
1.609133873709315,1.5764078536677144,1.609133873709315
1.6091327273818095,1.5764060799420994,1.6091327273818095
1.6091318298783883,1.5764040957985115,1.6091318298783883
1.6091308214927724,1.5764022588648194,1.6091308214927724
1.6091296151335055,1.576400541140417,1.6091296151335055
1.609128561238097,1.5763985849974356,1.609128561238097
1.609127633930672,1.5763966920625307,1.609127633930672
1.609126516747998,1.5763947359195494,1.609126516747998
1.609125490793423,1.576392962193934,1.609125490793423
1.6091246556019612,1.57639095004974,1.6091246556019612
1.6091235080771835,1.5763890499079711,1.6091235080771835
1.6091223346428993,1.576387212974279,1.6091223346428993
1.6091214928731674,1.5763853480399808,1.6091214928731674
1.609120476113373,1.5763834551050762,1.609120476113373
1.609119270298932,1.5763816181713841,1.609119270298932
1.6091182751909292,1.5763798092382986,1.6091182751909292
1.6091173109833088,1.5763776778848149,1.6091173109833088
1.6091161744357676,1.5763758689517293,1.6091161744357676
1.6091152242389213,1.5763739760168245,1.6091152242389213
1.6091141479182027,1.5763721110825262,1.6091141479182027
1.6091132123643979,1.5763703373569111,1.6091132123643979
1.6091121152124899,1.5763683180058528,1.6091121152124899
1.6091109166623965,1.5763664530715544,1.6091109166623965
1.6091098569622362,1.5763643777192833,1.6091098569622362
1.6091089428786143,1.5763626319942745,1.6091089428786143
1.609107842437571,1.5763607038518994,1.609107842437571
1.609106925118624,1.5763589581268906,1.609106925118624
1.609105865700966,1.5763569739833028,1.609105865700966
1.6091047549553112,1.576355228258294,1.6091047549553112
1.6091037284559102,1.5763531809066293,1.6091037284559102
1.6091027699925053,1.576351315972331,1.6091027699925053
1.6091017350651156,1.5763494230374262,1.6091017350651156
1.6091006967006134,1.5763475581031279,1.6091006967006134
1.6090995906229746,1.5763458755861959,1.6090995906229746
1.6090985639419646,1.5763438562351377,1.6090985639419646
1.6090977230870023,1.5763419000921561,1.6090977230870023
1.6090966680212269,1.5763400351578578,1.6090966680212269
1.6090955991195595,1.5763381702235595,1.6090955991195595
1.6090944483796354,1.576336214080578,1.6090944483796354
1.6090933826191258,1.5763343491462796,1.6090933826191258
1.609092444946553,1.5763325122125877,1.609092444946553
1.6090913454471845,1.5763306472782894,1.6090913454471845
1.609090249176415,1.5763286911353078,1.609090249176415
1.6090893104276425,1.5763268542016158,1.6090893104276425
1.6090883177074575,1.576324870058028,1.6090883177074575
1.6090872270665575,1.5763230963324129,1.6090872270665575
1.6090862985013241,1.5763212593987208,1.6090862985013241
1.6090851013502903,1.5763193032557394,1.6090851013502903
1.6090842416214766,1.5763174103208346,1.6090842416214766
1.6090831476712626,1.5763154821784595,1.6090831476712626
1.6090822111286993,1.5763136452447677,1.6090822111286993
1.6090810977732604,1.5763117523098629,1.6090810977732604
1.6090800259322229,1.5763101257941436,1.6090800259322229
1.6090791314623396,1.5763079872337957,1.6090791314623396
1.609077910379316,1.5763061222994974,1.609077910379316
1.6090769453040097,1.5763043205732759,1.6090769453040097
1.6090758055076906,1.576302483639584,1.6090758055076906
1.6090747985749443,1.5763004362879194,1.6090747985749443
1.6090737377447744,1.5762985993542273,1.6090737377447744
1.6090727558471223,1.5762968256286123,1.6090727558471223
1.6090717167158277,1.5762948694856307,1.6090717167158277
1.6090706449958625,1.5762930045513324,1.6090706449958625
1.609069596387285,1.5762910484083508,1.609069596387285
1.609068468234101,1.5762892746827357,1.609068468234101
1.6090674658415718,1.5762873465403606,1.6090674658415718
1.6090664728994208,1.5762854536054558,1.6090664728994208
1.6090654609354411,1.576283616671764,1.6090654609354411
1.6090645112094322,1.5762817517374657,1.6090645112094322
1.6090634336174527,1.5762797395932713,1.6090634336174527
1.60906234708629,1.5762778394515025,1.60906234708629
1.6090615786393851,1.5762759465165979,1.6090615786393851
1.6090603631122422,1.5762741375835123,1.6090603631122422
1.6090594033641241,1.576272272649214,1.6090594033641241
1.609058136361007,1.576270435715522,1.609058136361007
1.6090572316874057,1.5762683323626445,1.6090572316874057
1.6090562095802443,1.5762666426388485,1.6090562095802443
1.609055086794606,1.5762647217033374,1.609055086794606
1.6090542353794348,1.576262765560356,1.6090542353794348
1.6090531241898476,1.5762609006260575,1.6090531241898476
1.6090520298024276,1.5762590356917592,1.6090520298024276
1.6090511130283065,1.5762571987580674,1.6090511130283065
1.6090500239344434,1.5762552706156923,1.6090500239344434
1.609048974902112,1.5762534336820002,1.609048974902112
1.6090479304839866,1.5762516599563852,1.6090479304839866
1.609046857035376,1.5762496406053268,1.609046857035376
1.6090458127181444,1.576247747670422,1.6090458127181444
1.6090448310491847,1.576245763526834,1.6090448310491847
1.6090438269212837,1.5762440458024318,1.6090438269212837
1.609042733415002,1.5762420896594502,1.609042733415002
1.6090417660393188,1.5762403439344415,1.6090417660393188
1.6090407224081644,1.5762384157920664,1.6090407224081644
1.609039607350985,1.576236466855949,1.609039607350985
1.6090387305913119,1.576234629922257,1.6090387305913119
1.6090376009516272,1.5762328841972482,1.6090376009516272
1.6090364999254003,1.576230956054873,1.6090364999254003
1.6090355920030215,1.576228880702602,1.6090355920030215
1.6090345533291117,1.5762271069769869,1.6090345533291117
1.609033461201711,1.576225122833399,1.609033461201711
1.609032494189245,1.5762233139003134,1.609032494189245
1.6090314886353796,1.5762214489660151,1.6090314886353796
1.6090302210941625,1.5762195840317168,1.6090302210941625
1.6090293861112146,1.5762177190974185,1.6090293861112146
1.6090283760574893,1.5762156717457536,1.6090283760574893
1.6090272418910396,1.576213862812668,1.6090272418910396
1.609026310440246,1.576212089087053,1.609026310440246
